level,factor,trigger_count,n_pass,n_fail,n_unknown,hit_rate,false_kill_count,false_kill_rate,potential_false_kill_rate,avg_saved_minutes_fail,avg_saved_minutes_all,expected_net_saving_minutes,saved_yuan_compute_estimate,t_end_method_dist
R2,approx_kl,2,0,2,0,1.0,0,N/A (no pass samples),0.0,8941.8,8941.8,8941.8,372.57,actual:2
R2,cpu,4,0,4,0,1.0,0,N/A (no pass samples),0.0,8971.8,8971.8,8971.8,373.82,actual:4
R2,drawdown,3,0,3,0,1.0,0,N/A (no pass samples),0.0,8808.5,8808.5,8808.5,367.02,actual:3
R2,early_low_reward,8,0,7,1,1.0,0,N/A (no pass samples),0.0,2546.2,2227.9,2546.2,92.83,no_snapshot:6;actual:2
R2,neg_ratio,4,0,4,0,1.0,0,N/A (no pass samples),0.0,8971.8,8971.8,8971.8,373.82,actual:4
R2,neg_ratio_current,4,0,4,0,1.0,0,N/A (no pass samples),0.0,8971.8,8971.8,8971.8,373.82,actual:4
R2,stall,3,0,3,0,1.0,0,N/A (no pass samples),0.0,8808.5,8808.5,8808.5,367.02,actual:3
R2,std,1,0,1,0,1.0,0,N/A (no pass samples),0.0,8601.8,8601.8,8601.8,358.41,actual:1
R2,std_reward_collapse,1,0,1,0,1.0,0,N/A (no pass samples),0.0,8601.8,8601.8,8601.8,358.41,actual:1
R3,drawdown,1,0,1,0,1.0,0,N/A (no pass samples),0.0,9511.8,9511.8,9511.8,396.32,actual:1
R3,kl_divergent,1,0,1,0,1.0,0,N/A (no pass samples),0.0,9511.8,9511.8,9511.8,396.32,actual:1
R3,neg_ratio,1,0,1,0,1.0,0,N/A (no pass samples),0.0,9511.8,9511.8,9511.8,396.32,actual:1
R3,std,1,0,1,0,1.0,0,N/A (no pass samples),0.0,9511.8,9511.8,9511.8,396.32,actual:1
