level,factor,trigger_count,n_pass,n_fail,n_unknown,hit_rate,false_kill_count,false_kill_rate,potential_false_kill_rate,avg_saved_minutes_fail,avg_saved_minutes_all,expected_net_saving_minutes,saved_yuan_compute_estimate,t_end_method_dist
R2,approx_kl,3,0,3,0,1.0,0,N/A (no pass samples),0.0,24196.0,24196.0,24196.0,1008.17,actual:3
R2,drawdown,4,0,4,0,1.0,0,N/A (no pass samples),0.0,24231.8,24231.8,24231.8,1009.66,actual:4
R2,early_low_reward,9,0,8,1,1.0,0,N/A (no pass samples),0.0,9073.5,8065.3,9073.5,336.06,no_snapshot:6;actual:3
R2,idle,2,0,2,0,1.0,0,N/A (no pass samples),0.0,24124.3,24124.3,24124.3,1005.18,actual:2
R2,neg_ratio,4,0,4,0,1.0,0,N/A (no pass samples),0.0,24231.8,24231.8,24231.8,1009.66,actual:4
R2,neg_ratio_current,4,0,4,0,1.0,0,N/A (no pass samples),0.0,24231.8,24231.8,24231.8,1009.66,actual:4
R2,stagnation,2,0,2,0,1.0,0,N/A (no pass samples),0.0,24239.3,24239.3,24239.3,1009.97,actual:2
R2,stall,2,0,2,0,1.0,0,N/A (no pass samples),0.0,24124.3,24124.3,24124.3,1005.18,actual:2
R2,std,1,0,1,0,1.0,0,N/A (no pass samples),0.0,24339.3,24339.3,24339.3,1014.14,actual:1
R2,std_reward_collapse,2,0,2,0,1.0,0,N/A (no pass samples),0.0,24339.3,24339.3,24339.3,1014.14,actual:2
R3,drawdown,1,0,1,0,1.0,0,N/A (no pass samples),0.0,24339.3,24339.3,24339.3,1014.14,actual:1
R3,kl_divergent,1,0,1,0,1.0,0,N/A (no pass samples),0.0,24339.3,24339.3,24339.3,1014.14,actual:1
R3,neg_ratio,1,0,1,0,1.0,0,N/A (no pass samples),0.0,24339.3,24339.3,24339.3,1014.14,actual:1
R3,neg_ratio_current,1,0,1,0,1.0,0,N/A (no pass samples),0.0,24339.3,24339.3,24339.3,1014.14,actual:1
R3,std,1,0,1,0,1.0,0,N/A (no pass samples),0.0,24339.3,24339.3,24339.3,1014.14,actual:1
