issue_id,category,severity,task,seed,issue_type,description,suggestion
DQ001,A,warning,balance_v1,seed00,missing_total_steps,total_steps 为空,补全训练步数（或用 eval 末点推算）
DQ002,A,warning,balance_v1,seed01,missing_total_steps,total_steps 为空,补全训练步数（或用 eval 末点推算）
DQ003,A,warning,balance_v1,seed02,missing_total_steps,total_steps 为空,补全训练步数（或用 eval 末点推算）
DQ004,A,warning,full_chain,seed00,missing_total_steps,total_steps 为空,补全训练步数（或用 eval 末点推算）
DQ005,A,warning,full_chain,seed01,missing_total_steps,total_steps 为空,补全训练步数（或用 eval 末点推算）
DQ006,A,warning,full_chain,seed02,missing_total_steps,total_steps 为空,补全训练步数（或用 eval 末点推算）
DQ007,A,warning,full_chain_v1,seed00,missing_total_steps,total_steps 为空,补全训练步数（或用 eval 末点推算）
DQ008,A,warning,traverse,seed02,missing_total_steps,total_steps 为空,补全训练步数（或用 eval 末点推算）
DQ009,A,warning,traverse_curve,seed01,missing_total_steps,total_steps 为空,补全训练步数（或用 eval 末点推算）
DQ010,A,warning,traverse_curve,seed02,missing_total_steps,total_steps 为空,补全训练步数（或用 eval 末点推算）
DQ011,A,warning,traverse_curve_dagger,seed00,missing_total_steps,total_steps 为空,补全训练步数（或用 eval 末点推算）
DQ012,A,warning,traverse_curve_high_level,seed00,missing_total_steps,total_steps 为空,补全训练步数（或用 eval 末点推算）
DQ013,A,warning,traverse_curve_high_level,seed01,missing_total_steps,total_steps 为空,补全训练步数（或用 eval 末点推算）
DQ014,A,warning,traverse_curve_high_level,seed02,missing_total_steps,total_steps 为空,补全训练步数（或用 eval 末点推算）
DQ015,A,warning,traverse_curve_high_level_bplus,seed00,missing_total_steps,total_steps 为空,补全训练步数（或用 eval 末点推算）
DQ016,A,warning,traverse_curve_high_level_bplus_no_goal,seed00,missing_total_steps,total_steps 为空,补全训练步数（或用 eval 末点推算）
DQ017,A,warning,traverse_curve_multi_segment,m1,missing_total_steps,total_steps 为空,补全训练步数（或用 eval 末点推算）
DQ018,A,warning,traverse_curve_multi_segment,m2,missing_total_steps,total_steps 为空,补全训练步数（或用 eval 末点推算）
DQ019,A,warning,traverse_curve_multi_segment,m3,missing_total_steps,total_steps 为空,补全训练步数（或用 eval 末点推算）
DQ020,A,warning,traverse_curve_v1,seed00,missing_total_steps,total_steps 为空,补全训练步数（或用 eval 末点推算）
DQ021,A,warning,traverse_curve_v2,seed00,missing_total_steps,total_steps 为空,补全训练步数（或用 eval 末点推算）
DQ022,A,warning,traverse_curve_v3,seed00,missing_total_steps,total_steps 为空,补全训练步数（或用 eval 末点推算）
DQ023,A,warning,traverse_flat_slope,seed01,missing_total_steps,total_steps 为空,补全训练步数（或用 eval 末点推算）
DQ024,A,warning,traverse_flat_slope,seed02,missing_total_steps,total_steps 为空,补全训练步数（或用 eval 末点推算）
DQ025,A,warning,traverse_flat_slope_v1,seed00,missing_total_steps,total_steps 为空,补全训练步数（或用 eval 末点推算）
DQ026,A,warning,traverse_slope,seed01,missing_total_steps,total_steps 为空,补全训练步数（或用 eval 末点推算）
DQ027,A,warning,traverse_slope,seed02,missing_total_steps,total_steps 为空,补全训练步数（或用 eval 末点推算）
DQ028,A,warning,traverse_slope_v1,seed00,missing_total_steps,total_steps 为空,补全训练步数（或用 eval 末点推算）
DQ029,A,warning,traverse_v1,seed00,missing_total_steps,total_steps 为空,补全训练步数（或用 eval 末点推算）
DQ030,A,warning,traverse_v1,seed01,missing_total_steps,total_steps 为空,补全训练步数（或用 eval 末点推算）
DQ031,A,warning,traverse_v1,seed02,missing_total_steps,total_steps 为空,补全训练步数（或用 eval 末点推算）
DQ032,A,warning,full_chain_v1,seed00,insufficient_eval_points,eval 点数仅 4（<10）,已知问题可接受（如 dagger 系列），否则补采数据
DQ033,A,warning,traverse_curve_dagger,seed00,insufficient_eval_points,eval 点数仅 6（<10）,已知问题可接受（如 dagger 系列），否则补采数据
DQ034,A,warning,traverse_curve_dagger_ppo,seed00,insufficient_eval_points,eval 点数仅 4（<10）,已知问题可接受（如 dagger 系列），否则补采数据
DQ035,A,warning,traverse_curve_high_level,seed00,insufficient_eval_points,eval 点数仅 4（<10）,已知问题可接受（如 dagger 系列），否则补采数据
DQ036,A,warning,traverse_curve_high_level,seed01,insufficient_eval_points,eval 点数仅 3（<10）,已知问题可接受（如 dagger 系列），否则补采数据
DQ037,A,warning,traverse_curve_high_level_bplus,seed00,insufficient_eval_points,eval 点数仅 7（<10）,已知问题可接受（如 dagger 系列），否则补采数据
DQ038,A,warning,traverse_curve_multi_segment,m1,insufficient_eval_points,eval 点数仅 5（<10）,已知问题可接受（如 dagger 系列），否则补采数据
DQ039,A,warning,traverse_curve_multi_segment,m2,insufficient_eval_points,eval 点数仅 5（<10）,已知问题可接受（如 dagger 系列），否则补采数据
DQ040,A,warning,traverse_curve_multi_segment,m3,insufficient_eval_points,eval 点数仅 5（<10）,已知问题可接受（如 dagger 系列），否则补采数据
DQ041,A,warning,full_chain_v1,seed00,insufficient_tb_points,tb 点数仅 1（<50）,已知问题可接受（如 dagger 系列），否则补采数据
DQ042,A,warning,traverse_curve_dagger_ppo,seed00,insufficient_tb_points,tb 点数仅 27（<50）,已知问题可接受（如 dagger 系列），否则补采数据
DQ043,A,warning,traverse_curve_high_level,seed00,insufficient_tb_points,tb 点数仅 24（<50）,已知问题可接受（如 dagger 系列），否则补采数据
DQ044,A,warning,traverse_curve_high_level,seed01,insufficient_tb_points,tb 点数仅 18（<50）,已知问题可接受（如 dagger 系列），否则补采数据
DQ045,A,warning,traverse_curve_high_level_bplus,seed00,insufficient_tb_points,tb 点数仅 42（<50）,已知问题可接受（如 dagger 系列），否则补采数据
DQ046,A,warning,traverse_curve_multi_segment,m1,insufficient_tb_points,tb 点数仅 30（<50）,已知问题可接受（如 dagger 系列），否则补采数据
DQ047,A,warning,traverse_curve_multi_segment,m2,insufficient_tb_points,tb 点数仅 30（<50）,已知问题可接受（如 dagger 系列），否则补采数据
DQ048,A,warning,traverse_curve_multi_segment,m3,insufficient_tb_points,tb 点数仅 30（<50）,已知问题可接受（如 dagger 系列），否则补采数据
DQ049,A,critical,balance_v1,seed00,missing_report,verdict=fail 但 reports.csv 无对应验收行,补充正式验收报告或调整标签来源
DQ050,A,critical,balance_v1,seed01,missing_report,verdict=fail 但 reports.csv 无对应验收行,补充正式验收报告或调整标签来源
DQ051,A,critical,balance_v1,seed02,missing_report,verdict=fail 但 reports.csv 无对应验收行,补充正式验收报告或调整标签来源
DQ052,A,critical,full_chain_v1,seed00,missing_report,verdict=fail 但 reports.csv 无对应验收行,补充正式验收报告或调整标签来源
DQ053,A,critical,traverse_curve_curriculum,s1,missing_report,verdict=fail 但 reports.csv 无对应验收行,补充正式验收报告或调整标签来源
DQ054,A,critical,traverse_curve_curriculum,s2,missing_report,verdict=fail 但 reports.csv 无对应验收行,补充正式验收报告或调整标签来源
DQ055,A,critical,traverse_curve_curriculum,s3,missing_report,verdict=fail 但 reports.csv 无对应验收行,补充正式验收报告或调整标签来源
DQ056,A,critical,traverse_curve_curriculum,s4,missing_report,verdict=fail 但 reports.csv 无对应验收行,补充正式验收报告或调整标签来源
DQ057,A,critical,traverse_curve_multi_segment,m1,missing_report,verdict=pass 但 reports.csv 无对应验收行,补充正式验收报告或调整标签来源
DQ058,A,critical,traverse_curve_multi_segment,m2,missing_report,verdict=pass 但 reports.csv 无对应验收行,补充正式验收报告或调整标签来源
DQ059,A,critical,traverse_curve_multi_segment,m3,missing_report,verdict=pass 但 reports.csv 无对应验收行,补充正式验收报告或调整标签来源
DQ060,A,critical,traverse_curve_v1,seed00,missing_report,verdict=fail 但 reports.csv 无对应验收行,补充正式验收报告或调整标签来源
DQ061,A,critical,traverse_flat_slope_v1,seed00,missing_report,verdict=fail 但 reports.csv 无对应验收行,补充正式验收报告或调整标签来源
DQ062,A,critical,traverse_slope_v1,seed00,missing_report,verdict=fail 但 reports.csv 无对应验收行,补充正式验收报告或调整标签来源
DQ063,A,critical,traverse_v1,seed01,missing_report,verdict=pass 但 reports.csv 无对应验收行,补充正式验收报告或调整标签来源
DQ064,A,critical,traverse_v1,seed02,missing_report,verdict=pass 但 reports.csv 无对应验收行,补充正式验收报告或调整标签来源
DQ065,A,critical,traverse,seed02,missing_eval_data,verdict=fail 但无任何 eval 点（无法验证训练表现）,补充 eval 数据或改为 unknown
DQ066,B,warning,traverse_curve_high_level,seed00,falls_outlier,"falls=20.0 超出 [0, 10]",检查验收记录
DQ067,C,warning,balance,seed00,incomplete_training,末 eval 点 4000000 与 total_steps=8000000 偏差 50%（>20%）,确认是否提前停止/续训（续训 run 以阶段总步数为口径）
DQ068,C,info,full_chain,seed00,missing_early_eval,首个 eval 点 @1950000 步（>200000，前段无 eval）,可能是续训/BC 预热，确认符合预期
DQ069,C,warning,traverse,seed00,incomplete_training,末 eval 点 700000 与 total_steps=8000000 偏差 91%（>20%）,确认是否提前停止/续训（续训 run 以阶段总步数为口径）
DQ070,C,info,traverse_curve_curriculum,s2,missing_early_eval,首个 eval 点 @1200000 步（>200000，前段无 eval）,可能是续训/BC 预热，确认符合预期
DQ071,C,warning,traverse_curve_curriculum,s2,incomplete_training,末 eval 点 2150000 与 total_steps=1000000 偏差 115%（>20%）,确认是否提前停止/续训（续训 run 以阶段总步数为口径）
DQ072,C,info,traverse_curve_curriculum,s3,missing_early_eval,首个 eval 点 @2350000 步（>200000，前段无 eval）,可能是续训/BC 预热，确认符合预期
DQ073,C,warning,traverse_curve_curriculum,s3,incomplete_training,末 eval 点 3300000 与 total_steps=1000000 偏差 230%（>20%）,确认是否提前停止/续训（续训 run 以阶段总步数为口径）
DQ074,C,info,traverse_curve_curriculum,s4,missing_early_eval,首个 eval 点 @3500000 步（>200000，前段无 eval）,可能是续训/BC 预热，确认符合预期
DQ075,C,warning,traverse_curve_curriculum,s4,incomplete_training,末 eval 点 4450000 与 total_steps=1000000 偏差 345%（>20%）,确认是否提前停止/续训（续训 run 以阶段总步数为口径）
DQ076,C,warning,traverse_curve_dagger_ppo,seed00,incomplete_training,末 eval 点 200000 与 total_steps=2000000 偏差 90%（>20%）,确认是否提前停止/续训（续训 run 以阶段总步数为口径）
DQ077,C,info,traverse_curve_multi_segment,m2,missing_early_eval,首个 eval 点 @550000 步（>200000，前段无 eval）,可能是续训/BC 预热，确认符合预期
DQ078,C,info,traverse_curve_multi_segment,m3,missing_early_eval,首个 eval 点 @1300000 步（>200000，前段无 eval）,可能是续训/BC 预热，确认符合预期
DQ079,C,info,traverse_flat_slope,seed00,missing_early_eval,首个 eval 点 @750000 步（>200000，前段无 eval）,可能是续训/BC 预热，确认符合预期
DQ080,C,info,traverse_slope,seed00,missing_early_eval,首个 eval 点 @700000 步（>200000，前段无 eval）,可能是续训/BC 预热，确认符合预期
DQ081,C,warning,traverse_slope,seed00,incomplete_training,末 eval 点 8000000 与 total_steps=4000000 偏差 100%（>20%）,确认是否提前停止/续训（续训 run 以阶段总步数为口径）
DQ082,C,info,traverse_slope_v1,seed00,missing_early_eval,首个 eval 点 @1800000 步（>200000，前段无 eval）,可能是续训/BC 预热，确认符合预期
DQ083,E,warning,full_chain_simple,seed00,completed_verdict_mismatch,completed=True 但 verdict=未设置（应为 pass/fail）,验收后补标或改 completed
DQ084,F,warning,balance,seed01,missing_eval_for_run,runs 中有该 run 但 eval_points 无任何点,刚启动可接受，否则补采
DQ085,F,warning,balance,seed02,missing_eval_for_run,runs 中有该 run 但 eval_points 无任何点,刚启动可接受，否则补采
DQ086,F,warning,full_chain,seed01,missing_eval_for_run,runs 中有该 run 但 eval_points 无任何点,刚启动可接受，否则补采
DQ087,F,warning,full_chain,seed02,missing_eval_for_run,runs 中有该 run 但 eval_points 无任何点,刚启动可接受，否则补采
DQ088,F,warning,traverse,seed02,missing_eval_for_run,runs 中有该 run 但 eval_points 无任何点,刚启动可接受，否则补采
DQ089,F,warning,traverse_curve,seed01,missing_eval_for_run,runs 中有该 run 但 eval_points 无任何点,刚启动可接受，否则补采
DQ090,F,warning,traverse_curve,seed02,missing_eval_for_run,runs 中有该 run 但 eval_points 无任何点,刚启动可接受，否则补采
DQ091,F,warning,traverse_flat_slope,seed01,missing_eval_for_run,runs 中有该 run 但 eval_points 无任何点,刚启动可接受，否则补采
DQ092,F,warning,traverse_flat_slope,seed02,missing_eval_for_run,runs 中有该 run 但 eval_points 无任何点,刚启动可接受，否则补采
DQ093,F,warning,traverse_slope,seed01,missing_eval_for_run,runs 中有该 run 但 eval_points 无任何点,刚启动可接受，否则补采
DQ094,F,warning,traverse_slope,seed02,missing_eval_for_run,runs 中有该 run 但 eval_points 无任何点,刚启动可接受，否则补采
DQ095,F,warning,balance,seed00,total_steps_mismatch,total_steps=8000000 与 eval 末点 4000000 偏差 50%（>20%）,确认续训口径（阶段 total_steps vs 累计步数）
DQ096,F,warning,traverse,seed00,total_steps_mismatch,total_steps=8000000 与 eval 末点 700000 偏差 91%（>20%）,确认续训口径（阶段 total_steps vs 累计步数）
DQ097,F,warning,traverse_curve_curriculum,s2,total_steps_mismatch,total_steps=1000000 与 eval 末点 2150000 偏差 115%（>20%）,确认续训口径（阶段 total_steps vs 累计步数）
DQ098,F,warning,traverse_curve_curriculum,s3,total_steps_mismatch,total_steps=1000000 与 eval 末点 3300000 偏差 230%（>20%）,确认续训口径（阶段 total_steps vs 累计步数）
DQ099,F,warning,traverse_curve_curriculum,s4,total_steps_mismatch,total_steps=1000000 与 eval 末点 4450000 偏差 345%（>20%）,确认续训口径（阶段 total_steps vs 累计步数）
DQ100,F,warning,traverse_curve_dagger_ppo,seed00,total_steps_mismatch,total_steps=2000000 与 eval 末点 200000 偏差 90%（>20%）,确认续训口径（阶段 total_steps vs 累计步数）
DQ101,F,warning,traverse_slope,seed00,total_steps_mismatch,total_steps=4000000 与 eval 末点 8000000 偏差 100%（>20%）,确认续训口径（阶段 total_steps vs 累计步数）
DQ102,F,warning,traverse,seed02,report_without_eval,reports.csv 有验收行但 eval_points 无数据,补充 eval 数据
DQ103,F,warning,traverse,seed02,report_without_eval,reports.csv 有验收行但 eval_points 无数据,补充 eval 数据
DQ104,F,warning,traverse,seed02,report_without_eval,reports.csv 有验收行但 eval_points 无数据,补充 eval 数据
DQ105,F,warning,traverse,seed02,report_without_eval,reports.csv 有验收行但 eval_points 无数据,补充 eval 数据
DQ106,F,warning,traverse,seed02,report_without_eval,reports.csv 有验收行但 eval_points 无数据,补充 eval 数据
